quantity,scale..
assessment_diet_freq_french_fries_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day"
assessment_diet_freq_fruit_juice_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_ice_cream_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day"
assessment_diet_freq_meat_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_nuts_seeds_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_oil_rich_fish_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_pastries_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day"
assessment_diet_freq_plant_based_protein_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_potatoes_pasta_rice_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_poultry_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_processed_meat_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (9) 6+ times per day"
assessment_diet_freq_savory_snacks_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day"
assessment_diet_freq_sweets_chocolates_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_white_fish_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_diet_freq_yogurt_int,"(1) Less than once per month, (2) 1-3 times per month, (3) Once per week, (4) 2-4 times per week, (5) 5-6 times per week, (6) Once per day, (7) 2-3 times per day, (8) 4-5 times per day, (9) 6+ times per day"
assessment_lifestyle_cruciferous_vegetables_enum,"(0) Daily, (1) 3-4 times per week, (2) Once per week, (3) Once per month, (4) Less than once per month"
assessment_lifestyle_fruits_enum,"(0) Zero/less than 1 per day, (1) 1, (2) 2-3, (3) 4-5, (4) 6 or more"
assessment_lifestyle_vegetables_enum,"(0) Zero/less than 1 per day, (1) 1, (2) 2-3, (3) 4-5, (4) 6 or more"
assessment_lifestyle_sugary_drinks_enum,"(0) Zero/less than 1 per day, (1) 1, (2) 2-3, (3) 4-5, (4) 6 or more"
assessment_lifestyle_water_enum,"(0) I don’t usually drink water, (1) Less than 3 cups per day, (2) 4-5 cups per day, (3) 6-8 cups per day, (4) More than 8 cups per day"
assessment_lifestyle_alcohol_drinks_a_day_enum,"(0) I do not drink, (1) 1-2 drinks, (2) 3-4 drinks, (3) 5-6 drinks, (4) More than 6 drinks"
assessment_lifestyle_grains_enum,"(0) Zero/less than 1 per day, (1) 1-2, (2) 3-4, (3) 5-6, (4) 7 or more"
